0.00000000000000e+00    	0.00000000000000e+00 	 5.87785252290000e-01  	8.09016994370000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.57000000000000e+00    	-3.62323509035654e-04 	 5.86653415364777e-01   8.09007735379710e-01 	-8.16476167537937e-04	 1.87508261948205e-03	-2.06904482036388e-05		1.00000209149594e+00
3.60000000000000e+00    	-3.80628121752354e-04 	 5.86730692977398e-01   8.09007121456131e-01 	-3.96494146302653e-04	 3.27246356738357e-03	-2.02260984196418e-05		1.00000543330249e+00
3.63000000000000e+00    	-3.85742962225031e-04 	 5.86849240827660e-01   8.09006521322452e-01 	6.04228695587180e-05	 4.61771629291552e-03	-1.98124081798862e-05		1.00001066361675e+00
3.66000000000000e+00    	-3.76788484139735e-04 	 5.87006706405557e-01   8.09005929687337e-01 	5.38719058257003e-04	 5.85837874842190e-03	-1.97020741048363e-05		1.00001730545424e+00
3.69000000000000e+00    	-3.53378869424728e-04 	 5.87199180148607e-01   8.09005333755058e-01 	1.02113783792094e-03	 6.94344184485036e-03	-2.01364757082733e-05		1.00002462695306e+00
3.72000000000000e+00    	-3.15663558923143e-04 	 5.87421269148441e-01   8.09004714124452e-01 	1.48936851569822e-03	 7.82534203801645e-03	-2.13085486800074e-05		1.00003172682203e+00
3.75000000000000e+00    	-2.64347957191445e-04 	 5.87666230047928e-01   8.09004046758907e-01 	1.92478158605367e-03	 8.46190358069285e-03	-2.33294363727830e-05		1.00003765386141e+00
3.78000000000000e+00    	-2.00691203720411e-04 	 5.87926158422369e-01   8.09003305831506e-01 	2.30921608250884e-03	 8.81815514016466e-03	-2.62043319542293e-05		1.00004154564981e+00
3.81000000000000e+00    	-1.26480094737379e-04 	 5.88192229742666e-01   8.09002467098677e-01 	2.62577670639607e-03	 8.86794888006070e-03	-2.98220206003481e-05		1.00004276714049e+00
3.84000000000000e+00    	-4.39795450406632e-05 	 5.88454984980472e-01   8.09001511343888e-01 	2.85959617931971e-03	 8.59531600599302e-03	-3.39609659959749e-05		1.00004102810880e+00
3.87000000000000e+00    	4.41387100185517e-05 	 5.88704652094140e-01   8.09000427380159e-01 	2.99851979775438e-03	 7.99550075612426e-03	-3.83125469258412e-05		1.00003645964593e+00
3.90000000000000e+00    	1.34886267505227e-04 	 5.88931493072161e-01   8.08999214119536e-01 	3.03367446883119e-03	 7.07562448109047e-03	-4.25195258062349e-05		1.00002963428615e+00
3.93000000000000e+00    	2.25063162694228e-04 	 5.89126164939462e-01   8.08997881312512e-01 	2.95989307565956e-03	 5.85494248285494e-03	-4.62253734870008e-05		1.00002152149605e+00
3.96000000000000e+00    	3.11373316326414e-04 	 5.89280082180205e-01   8.08996448723233e-01 	2.77597594237190e-03	 4.36466845200996e-03	-4.91280535111881e-05		1.00001337930384e+00
3.99000000000000e+00    	3.90545340523589e-04 	 5.89385767430670e-01   8.08994943718967e-01 	2.48478321264070e-03	 2.64735452811897e-03	-5.10306212824331e-05		1.00000659259714e+00
4.02000000000000e+00    	4.59453700019110e-04 	 5.89437177086341e-01   8.08993397487768e-01 	2.09316372342917e-03	 7.55829116528551e-04	-5.18807729663134e-05		1.00000247764875e+00
4.05000000000000e+00    	5.15235530039177e-04 	 5.89429988692082e-01   8.08991840323288e-01 	1.61173606472978e-03	 -1.24829049382912e-03	-5.17924122210800e-05		1.00000207930021e+00
4.08000000000000e+00    	5.55398979994272e-04 	 5.89361837685036e-01   8.08990296595854e-01 	1.05454478859983e-03	 -3.29647817359089e-03	-5.10443592265918e-05		1.00000599070135e+00
4.11000000000000e+00    	5.77919691763953e-04 	 5.89232492265958e-01   8.08988780132811e-01 	4.38618375174416e-04	 -5.31552340962279e-03	-5.00543057349770e-05		1.00001422473914e+00
4.14000000000000e+00    	5.81322823756509e-04 	 5.89043956892002e-01   8.08987290735803e-01 	-2.16544686925983e-04	 -7.23003653063540e-03	-4.93296637452457e-05		1.00002616103443e+00
4.17000000000000e+00    	5.64748785581832e-04 	 5.88800497086836e-01   8.08985812458223e-01 	-8.89539161269451e-04	 -8.96515663920514e-03	-4.94005841820153e-05		1.00004058305346e+00
4.20000000000000e+00    	5.28001456165211e-04 	 5.88508580891681e-01   8.08984314057846e-01 	-1.55764957934508e-03	 -1.04493715001657e-02	-5.07435942546092e-05		1.00005580754870e+00
