9.50000000000000e-01    	-4.97043799862554e-07 	 2.99998198157351e+00   0.00000000000000e+00 	1.17872732583011e-06	 -1.31326933708115e-04	0.00000000000000e+00		1.00000000862408e+00
9.60000000000000e-01    	-4.83635608586772e-07 	 2.99998065551061e+00   0.00000000000000e+00 	1.50558797171723e-06	 -1.33808998584338e-04	0.00000000000000e+00		1.00000000895356e+00
9.70000000000000e-01    	-4.66879763483380e-07 	 2.99997930699583e+00   0.00000000000000e+00 	1.84812740672903e-06	 -1.35810394925344e-04	0.00000000000000e+00		1.00000000922394e+00
9.80000000000000e-01    	-4.46623617024582e-07 	 2.99997794104266e+00   0.00000000000000e+00 	2.20549554006391e-06	 -1.37289833444311e-04	0.00000000000000e+00		1.00000000942668e+00
9.90000000000000e-01    	-4.22723685631452e-07 	 2.99997656307483e+00   0.00000000000000e+00 	2.57670944840692e-06	 -1.38206606599231e-04	0.00000000000000e+00		1.00000000955385e+00
1.00000000000000e+00    	-3.95046983489115e-07 	 2.99997517891909e+00   0.00000000000000e+00 	2.96065240250382e-06	 -1.38520858718291e-04	0.00000000000000e+00		1.00000000959840e+00
1.01000000000000e+00    	-3.63472362303649e-07 	 2.99997379479533e+00   0.00000000000000e+00 	3.35607365751196e-06	 -1.38193863692771e-04	0.00000000000000e+00		1.00000000955440e+00
1.02000000000000e+00    	-3.27891849211661e-07 	 2.99997241730389e+00   0.00000000000000e+00 	3.76158903671031e-06	 -1.37188308865775e-04	0.00000000000000e+00		1.00000000941739e+00
1.03000000000000e+00    	-2.88211974778464e-07 	 2.99997105340997e+00   0.00000000000000e+00 	4.17568233394054e-06	 -1.35468583656071e-04	0.00000000000000e+00		1.00000000918459e+00
1.04000000000000e+00    	-2.44355082789169e-07 	 2.99996971042512e+00   0.00000000000000e+00 	4.59670755569690e-06	 -1.33001071373300e-04	0.00000000000000e+00		1.00000000885521e+00
1.05000000000000e+00    	-1.96260613350993e-07 	 2.99996839598591e+00   0.00000000000000e+00 	5.02289201911915e-06	 -1.29754442604404e-04	0.00000000000000e+00		1.00000000843072e+00
1.06000000000000e+00    	-1.43886350686551e-07 	 2.99996711802950e+00   0.00000000000000e+00 	5.45234031730887e-06	 -1.25699948482055e-04	0.00000000000000e+00		1.00000000791510e+00
1.07000000000000e+00    	-8.72096269084704e-08 	 2.99996588476645e+00   0.00000000000000e+00 	5.88303915842251e-06	 -1.20811712084743e-04	0.00000000000000e+00		1.00000000731504e+00
1.08000000000000e+00    	-2.62284730263538e-08 	 2.99996470465052e+00   0.00000000000000e+00 	6.31286307993504e-06	 -1.15067016165561e-04	0.00000000000000e+00		1.00000000664014e+00
1.09000000000000e+00    	3.90372915513074e-08 	 2.99996358634567e+00   0.00000000000000e+00 	6.73958103435657e-06	 -1.08446585363222e-04	0.00000000000000e+00		1.00000000590304e+00
1.10000000000000e+00    	1.08545039694843e-07 	 2.99996253869025e+00   0.00000000000000e+00 	7.16086383755948e-06	 -1.00934861014963e-04	0.00000000000000e+00		1.00000000511956e+00
1.11000000000000e+00    	1.82228395971379e-07 	 2.99996157065850e+00   0.00000000000000e+00 	7.57429246577531e-06	 -9.25202666671706e-05	0.00000000000000e+00		1.00000000430868e+00
1.12000000000000e+00    	2.59996383199065e-07 	 2.99996069131945e+00   0.00000000000000e+00 	7.97736718228536e-06	 -8.31954623663102e-05	0.00000000000000e+00		1.00000000349256e+00
