1.53600000000000e+01    	-1.53599980799985e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 1.36397057332342e-13	-6.52825092344725e-28		2.00000024999998e+03
1.54800000000000e+01    	-1.54799980649985e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -7.45200243743150e-13	-6.70123799902120e-28		2.00000024999998e+03
1.56000000000000e+01    	-1.55999980499985e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -2.34344549283148e-13	-7.02871548793450e-28		2.00000024999998e+03
1.57200000000000e+01    	-1.57199980349985e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 7.31895992365157e-13	-7.17430442762307e-28		2.00000024999998e+03
1.58400000000000e+01    	-1.58399980199984e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 3.32546511956664e-13	-7.54924118256368e-28		2.00000024999998e+03
1.59600000000000e+01    	-1.59599980049984e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -7.05136571313984e-13	-7.67117031359964e-28		2.00000024999998e+03
1.60800000000000e+01    	-1.60799979899985e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -4.29122093835070e-13	-8.08839878588471e-28		2.00000024999998e+03
1.62000000000000e+01    	-1.61999979749987e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 6.64906980526156e-13	-8.19320782399703e-28		2.00000024999998e+03
1.63200000000000e+01    	-1.63199979599989e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 5.22158162247392e-13	-8.64480730247627e-28		2.00000024999998e+03
1.64400000000000e+01    	-1.64399979449990e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -6.11469612541878e-13	-8.74156540950864e-28		2.00000024999998e+03
1.65600000000000e+01    	-1.65599979299992e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -6.09751409744991e-13	-9.21724636756855e-28		2.00000024999998e+03
1.66800000000000e+01    	-1.66799979149993e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 5.45365131052916e-13	-9.31705927817175e-28		2.00000024999998e+03
1.68000000000000e+01    	-1.67999978999995e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 6.90048694740891e-13	-9.80475796210420e-28		2.00000024999998e+03
1.69200000000000e+01    	-1.69199978849997e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -4.67409545726310e-13	-9.92007935269052e-28		2.00000024999998e+03
