file	phi	r	period	raio_max	px_mean	x_final	eta
2479	0.37077488090092e+00	2.00000000000000e+00	3.75913999999841e+02	1.61845849072638e+00	-1.17155732781495e+00	-6.13405835000000e+02	3.26314236111038e+01
2480	01.82933807822379e+00	2.00000000000000e+00	3.45012799999870e+02	1.60133960968920e+00	-1.15897553507437e+00	-6.03957292000000e+02	3.09151254480231e+01
2481	01.49842496999186e+00	2.00000000000000e+00	3.30461999999882e+02	1.58716262551853e+00	-1.14599411256526e+00	-5.94504719000000e+02	3.05983333333285e+01
2482	0.51968122759633e+00	2.00000000000000e+00	3.07489199999904e+02	1.57154108756949e+00	-1.13241606195925e+00	-5.85044460000000e+02	2.93405725190806e+01
2483	0.85536302663739e+00	2.00000000000000e+00	2.90429599999919e+02	1.55781266392058e+00	-1.11951834132673e+00	-5.75691246000000e+02	2.85294302554004e+01
2484	02.57672296289160e+00	2.00000000000000e+00	2.77425999999931e+02	1.54204406340152e+00	-1.10573943407698e+00	-5.66392958000000e+02	2.80228282828268e+01
2485	01.24341250292387e+00	2.00000000000000e+00	2.58236399999948e+02	1.52533936818742e+00	-1.09213610149575e+00	-5.57091054000000e+02	2.67880082987551e+01
2486	08.76803657485210e-01	2.00000000000000e+00	2.49471199999951e+02	1.51562613045206e+00	-1.07840286993405e+00	-5.47763742000000e+02	2.65394893617022e+01
2487	0.21565949145054e+00	2.00000000000000e+00	2.35576799999955e+02	1.50313355559272e+00	-1.06389892978550e+00	-5.38441319000000e+02	2.57179912663757e+01
2488	0.46146610454375e+00	2.00000000000000e+00	2.24887199999957e+02	1.48931929283042e+00	-1.04986121220913e+00	-5.29060342000000e+02	2.51551677852350e+01
2489	07.64220697627750e-01	2.00000000000000e+00	2.15491999999959e+02	1.47946456534949e+00	-1.03443190461903e+00	-5.19510970000000e+02	2.46558352402747e+01
2490	05.80406400476757e-01	2.00000000000000e+00	2.03805599999961e+02	1.46992596948814e+00	-1.01982263558229e+00	-5.10036023000000e+02	2.38648243559720e+01
2491	03.04407661103647e-01	2.00000000000000e+00	1.96405599999962e+02	1.45788286110340e+00	-1.00405348169460e+00	-5.00480764000000e+02	2.34934928229666e+01
2492	0.76933512524740e+00	2.00000000000000e+00	1.85985999999964e+02	1.44847036405669e+00	-9.88553427415112e-01	-4.90981441000000e+02	2.27366748166260e+01
2493	0.92279040075596e+00	2.00000000000000e+00	1.79747599999965e+02	1.43920650801913e+00	-9.72706126326245e-01	-4.81506806000000e+02	2.24124189526185e+01
2494	06.79592547503498e-02	2.00000000000000e+00	1.70684399999968e+02	1.43014014846159e+00	-9.56820429753765e-01	-4.72128778000000e+02	2.17155725190841e+01
2495	0.41123116946359e-02	2.00000000000000e+00	1.64819999999968e+02	1.41909771486548e+00	-9.40612421286953e-01	-4.62762561000000e+02	2.13497409326425e+01
2496	0.36256014121564e-01	2.00000000000000e+00	1.57363199999970e+02	1.41192886061800e+00	-9.24063676241381e-01	-4.53348483000000e+02	2.07603166226914e+01
2497	02.85696451302129e+00	2.00000000000000e+00	1.52012799999972e+02	1.40186108429233e+00	-9.07289974883632e-01	-4.43967638000000e+02	2.04318279569894e+01
2498	02.69075695901022e+00	2.00000000000000e+00	1.45446799999973e+02	1.39539636606692e+00	-8.90215024026056e-01	-4.34557755000000e+02	1.99242191780824e+01
2499	01.58505491817423e+00	2.00000000000000e+00	1.40750799999973e+02	1.38786886706939e+00	-8.72728269790361e-01	-4.25101924000000e+02	1.96031754874653e+01
2500	0.61757214086436e-01	2.00000000000000e+00	1.34986399999974e+02	1.37883965896218e+00	-8.54990482220945e-01	-4.15688297000000e+02	1.91198866855525e+01
2501	0.48232479151824e-01	2.00000000000000e+00	1.30755599999975e+02	1.37054946255165e+00	-8.36442363409068e-01	-4.06193339000000e+02	1.87867241379312e+01
2502	0.95709953248634e+00	2.00000000000000e+00	1.25667599999975e+02	1.36570934164051e+00	-8.18389573428791e-01	-3.96808634000000e+02	1.83188921282798e+01
2503	02.04575317523633e+00	2.00000000000000e+00	1.21777199999976e+02	1.35401644865697e+00	-7.99269577839157e-01	-3.87451209000000e+02	1.80678338278931e+01
2504	01.67360501463264e+00	2.00000000000000e+00	1.17519999999977e+02	1.35233903698871e+00	-7.80806809499454e-01	-3.78099057000000e+02	1.76456456456456e+01
2505	03.23286888204415e-01	2.00000000000000e+00	1.13769199999977e+02	1.34641209589103e+00	-7.60696084134443e-01	-3.68750326000000e+02	1.73428658536585e+01
2506	0.24699490444987e+00	2.00000000000000e+00	1.10142399999978e+02	1.33949825517488e+00	-7.41530312643813e-01	-3.59453912000000e+02	1.70499071207430e+01
2507	0.63262595188138e+00	2.00000000000000e+00	1.06565199999979e+02	1.33228142132956e+00	-7.20920500252680e-01	-3.50150309000000e+02	1.67030094043887e+01
2508	0.27706508139284e+00	2.00000000000000e+00	1.03492399999979e+02	1.32810617072333e+00	-7.00765521734170e-01	-3.40792747000000e+02	1.64273650793650e+01
2509	01.18658546295986e+00	2.00000000000000e+00	1.00333599999980e+02	1.32129633585637e+00	-6.79985683589041e-01	-3.31492270000000e+02	1.61308038585208e+01
2510	08.42773666312219e-01	2.00000000000000e+00	9.76699999999805e+01	1.31788474047234e+00	-6.58604539571083e-01	-3.22193976000000e+02	1.59071661237784e+01
2511	06.67877109512654e-01	2.00000000000000e+00	9.47991999999811e+01	1.30821968653401e+00	-6.37529364599110e-01	-3.12873104000000e+02	1.56434323432343e+01
2512	0.83019501044112e+00	2.00000000000000e+00	9.22099999999816e+01	1.30576661317054e+00	-6.14496046289278e-01	-3.03398356000000e+02	1.53683333333333e+01
2513	0.56822492443026e+00	2.00000000000000e+00	8.97119999999821e+01	1.30106863196169e+00	-5.92431044141278e-01	-2.94008706000000e+02	1.51030303030303e+01
2514	0.81245864055690e+00	2.00000000000000e+00	8.71215999999826e+01	1.29797661639810e+00	-5.70377798459092e-01	-2.84925993000000e+02	1.48671672354948e+01
2515	0.91877286761614e+00	2.00000000000000e+00	8.49819999999831e+01	1.29173170009730e+00	-5.47198821096835e-01	-2.75705023000000e+02	1.46520689655172e+01
2516	0.81942465883897e-02	2.00000000000000e+00	8.27059999999835e+01	1.28809842981021e+00	-5.25329566763958e-01	-2.66748538000000e+02	1.44087108013937e+01
2517	0.20082115910734e-01	2.00000000000000e+00	8.05155999999839e+01	1.28273125086597e+00	-5.00814368270877e-01	-2.57403647000000e+02	1.41752816901408e+01
2518	0.16174402728239e-01	2.00000000000000e+00	7.85671999999843e+01	1.27838998463022e+00	-4.76701453994044e-01	-2.48085981000000e+02	1.39799288256227e+01
2519	0.03660782172139e-01	2.00000000000000e+00	7.65095999999848e+01	1.27304641595906e+00	-4.52611517156479e-01	-2.38896491000000e+02	1.37113978494623e+01
2520	02.73155995286766e+00	2.00000000000000e+00	7.46315999999851e+01	1.26597602318066e+00	-4.26833498028689e-01	-2.29702867000000e+02	1.35202173913043e+01
2521	02.56556727058649e+00	2.00000000000000e+00	7.28771999999855e+01	1.26819416880292e+00	-4.01814547466128e-01	-2.20609259000000e+02	1.33474725274725e+01
2522	02.22794880505126e+00	2.00000000000000e+00	7.10695999999858e+01	1.26333180971459e+00	-3.75582381741058e-01	-2.11332787000000e+02	1.31124723247232e+01
2523	01.67479278655403e+00	2.00000000000000e+00	6.94411999999861e+01	1.26391236025810e+00	-3.48166356040910e-01	-2.02055644000000e+02	1.29072862453531e+01
2524	0.50711518847958e-01	2.00000000000000e+00	6.78571999999864e+01	1.25975804751584e+00	-3.21439664089955e-01	-1.92877103000000e+02	1.27551127819548e+01
2525	0.07423031706457e+00	2.00000000000000e+00	6.62519999999868e+01	1.23585689268694e+00	-2.94185430307417e-01	-1.83876834000000e+02	1.25477272727272e+01
2526	0.40885589368711e+00	2.00000000000000e+00	6.48163999999870e+01	1.25382855948125e+00	-2.65052166474987e-01	-1.74672344000000e+02	1.23695419847328e+01
2527	0.86404326680601e+00	2.00000000000000e+00	6.34323999999874e+01	1.25005820960134e+00	-2.37299314990669e-01	-1.65624068000000e+02	1.21985384615384e+01
2528	0.42177768064898e+00	2.00000000000000e+00	6.20267999999876e+01	1.24629153162165e+00	-2.07321508495563e-01	-1.56257367000000e+02	1.20206976744186e+01
2529	0.04698452216196e+00	2.00000000000000e+00	6.12943999999877e+01	1.26298430714700e+00	-1.36348821065439e-01	-1.36103587000000e+02	1.17422222222222e+01
2530	01.02525216104615e+00	2.00000000000000e+00	5.93259999999881e+01	1.24192478689498e+00	-1.56514464701693e-01	-1.41013238000000e+02	1.16783464566929e+01
