tfwhm	phi	r	period	raio_max	px_mean	x_f	eta
820	0.00000000000000e+00	1.00000000000000e+00	2.68961730776479e+02	4.33779203245798e-01	-9.67069324313739e-01	-1.34657821000000e+03	3.04533364869410e+01
830	0.00000000000000e+00	1.00000000000000e+00	2.69004568936270e+02	4.31603720281870e-01	-9.67354070095876e-01	-1.34725760000000e+03	3.04927123980589e+01
840	0.00000000000000e+00	1.00000000000000e+00	2.69086063355006e+02	4.29912033033376e-01	-9.67629082426866e-01	-1.34792175000000e+03	3.05019501068547e+01
850	0.00000000000000e+00	1.00000000000000e+00	2.68935988076125e+02	4.27953100323508e-01	-9.67903225377620e-01	-1.34857403000000e+03	3.04849384912711e+01
860	0.00000000000000e+00	1.00000000000000e+00	2.68870841424874e+02	4.26205686116815e-01	-9.68171515208763e-01	-1.34921413000000e+03	3.04775538653960e+01
870	0.00000000000000e+00	1.00000000000000e+00	2.68888457253461e+02	4.24894948562233e-01	-9.68430548919551e-01	-1.34983863000000e+03	3.04795506879662e+01
880	0.00000000000000e+00	1.00000000000000e+00	2.68810148733101e+02	4.23044740992907e-01	-9.68686123028848e-01	-1.35045347000000e+03	3.05052530018780e+01
890	0.00000000000000e+00	1.00000000000000e+00	2.68772942994041e+02	4.21154527313783e-01	-9.68938963505309e-01	-1.35105919000000e+03	3.05010308008619e+01
900	0.00000000000000e+00	1.00000000000000e+00	2.68738059115708e+02	4.19453655950095e-01	-9.69186290447044e-01	-1.35165200000000e+03	3.04970720904513e+01
910	0.00000000000000e+00	1.00000000000000e+00	2.68677087046281e+02	4.17878719208313e-01	-9.69427328430199e-01	-1.35223605000000e+03	3.04901528263808e+01
920	0.00000000000000e+00	1.00000000000000e+00	2.68645378702062e+02	4.16147810325789e-01	-9.69665252425171e-01	-1.35280675000000e+03	3.05211906998347e+01
930	0.00000000000000e+00	1.00000000000000e+00	2.68567988853231e+02	4.14374475213715e-01	-9.69894879879370e-01	-1.35336909000000e+03	3.05123983269831e+01
940	0.00000000000000e+00	1.00000000000000e+00	2.68573462922786e+02	4.13180754516731e-01	-9.70120670796353e-01	-1.35392391000000e+03	3.05130202439563e+01
950	0.00000000000000e+00	1.00000000000000e+00	2.68525577819647e+02	4.11414793992374e-01	-9.70348036090540e-01	-1.35446912000000e+03	2.85210385363342e+01
960	0.00000000000000e+00	1.00000000000000e+00	2.68451961512362e+02	4.10131697687662e-01	-9.70566156671098e-01	-1.35500512000000e+03	2.85132194914818e+01
970	0.00000000000000e+00	1.00000000000000e+00	2.68453739501242e+02	4.08214300210223e-01	-9.70784457857061e-01	-1.35552928000000e+03	3.05028823553293e+01
980	0.00000000000000e+00	1.00000000000000e+00	2.68145612516860e+02	4.07153478592863e-01	-9.71000654717535e-01	-1.35604851000000e+03	3.05025299283680e+01
990	0.00000000000000e+00	1.00000000000000e+00	2.68385707722394e+02	4.05443092536094e-01	-9.71207529380187e-01	-1.35655263000000e+03	3.05298416233971e+01
1000	0.00000000000000e+00	1.00000000000000e+00	2.68321423388675e+02	4.03751300408568e-01	-9.71415775754341e-01	-1.35705594000000e+03	3.05225290487300e+01
1010	0.00000000000000e+00	1.00000000000000e+00	2.68461678240228e+02	4.02785177372807e-01	-9.71615676356328e-01	-1.35754513000000e+03	3.05384835436290e+01
1020	0.00000000000000e+00	1.00000000000000e+00	2.68286018071895e+02	4.01321049644591e-01	-9.71812393560691e-01	-1.35803146000000e+03	3.05185015663313e+01
1030	0.00000000000000e+00	1.00000000000000e+00	2.68240774466641e+02	3.99854891942163e-01	-9.72009258491000e-01	-1.35850891000000e+03	3.05481045131176e+01
1040	0.00000000000000e+00	1.00000000000000e+00	2.68160934866106e+02	3.98292467336948e-01	-9.72201346392056e-01	-1.35897852000000e+03	3.05390121278669e+01
1050	0.00000000000000e+00	1.00000000000000e+00	2.68225100971452e+02	3.97024368730340e-01	-9.72396443139246e-01	-1.35944460000000e+03	3.05463195661048e+01
1060	0.00000000000000e+00	1.00000000000000e+00	2.68210849783179e+02	3.95599548073087e-01	-9.72584960983645e-01	-1.35990040000000e+03	3.05446965958846e+01
