0.00000000000000e+00    	0.00000000000000e+00 	 9.51056516300000e-01  	3.09016994370000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
2.10000000000000e+00    	-2.08957778674739e+00 	 9.51008094508044e-01   3.09016965154945e-01 	-1.00019206443185e+01	 -1.23683273008691e-02	-8.41426132832653e-07		1.00517943448304e+01
2.13000000000000e+00    	-2.11942895285209e+00 	 9.50973922478141e-01   3.09016961336405e-01 	-1.00027610730814e+01	 -1.02306834644763e-02	-1.75831863243183e-06		1.00526282012238e+01
2.16000000000000e+00    	-2.14928014785749e+00 	 9.50948708804206e-01   3.09016954637737e-01 	-1.00032677039949e+01	 -6.41538069622169e-03	-2.69527949668458e-06		1.00531291603611e+01
2.19000000000000e+00    	-2.17913135964800e+00 	 9.50936888054300e-01   3.09016945683544e-01 	-1.00033371351764e+01	 -1.34598100519287e-03	-3.20298349756496e-06		1.00531962903185e+01
2.22000000000000e+00    	-2.20898256829321e+00 	 9.50941286749939e-01   3.09016936223787e-01 	-1.00029226126139e+01	 4.33276608384351e-03	-3.01783325988047e-06		1.00527846672856e+01
2.25000000000000e+00    	-2.23883375056239e+00 	 9.50962573086799e-01   3.09016928264044e-01 	-1.00020459825282e+01	 9.83332811217678e-03	-2.25043761267437e-06		1.00519162616367e+01
2.28000000000000e+00    	-2.26868488682335e+00 	 9.50998983401764e-01   3.09016922895376e-01 	-1.00008000317824e+01	 1.43314873284981e-02	-1.38365317630966e-06		1.00506819006091e+01
2.31000000000000e+00    	-2.29853596753152e+00 	 9.51046388450465e-01   3.09016919467345e-01 	-9.99933999602825e+00	 1.70863536738508e-02	-1.04949145168520e-06		1.00492334185078e+01
2.34000000000000e+00    	-2.32838699627774e+00 	 9.51098717088719e-01   3.09016915651191e-01 	-9.99786475909788e+00	 1.75573227306166e-02	-1.68096140528450e-06		1.00477663189783e+01
2.37000000000000e+00    	-2.35823798775804e+00 	 9.51148702901942e-01   3.09016908501836e-01 	-9.99659004905009e+00	 1.55001105749179e-02	-3.22524396898697e-06		1.00464945559238e+01
2.40000000000000e+00    	-2.38808896150685e+00 	 9.51188867741774e-01   3.09016896051888e-01 	-9.99571737765774e+00	 1.10257377088376e-02	-5.09836786074992e-06		1.00456203124012e+01
2.43000000000000e+00    	-2.41793993452898e+00 	 9.51212612926100e-01   3.09016878579562e-01 	-9.99540327160189e+00	 4.61069245459734e-03	-6.44668643516556e-06		1.00453027739574e+01
2.46000000000000e+00    	-2.44779091671653e+00 	 9.51215261741306e-01   3.09016858749546e-01 	-9.99573337886882e+00	 -2.94695381072409e-03	-6.60823100352903e-06		1.00456306156464e+01
2.49000000000000e+00    	-2.47764191150406e+00 	 9.51194891930261e-01   3.09016840369263e-01 	-9.99670537216064e+00	 -1.06228209237456e-02	-5.53160779364150e-06		1.00466029652883e+01
2.52000000000000e+00    	-2.50749292117162e+00 	 9.51152817023266e-01   3.09016826283770e-01 	-9.99822341665258e+00	 -1.73021496206080e-02	-3.89844481436238e-06		1.00481227527184e+01
2.55000000000000e+00    	-2.53734395318087e+00 	 9.51093619429142e-01   3.09016816520109e-01 	-1.00001055501928e+01	 -2.19386839806452e-02	-2.83324806615587e-06		1.00500045930766e+01
2.58000000000000e+00    	-2.56719502277234e+00 	 9.51024700454092e-01   3.09016807806994e-01 	-1.00021037959768e+01	 -2.37141449349158e-02	-3.31155254402132e-06		1.00519969511622e+01
2.61000000000000e+00    	-2.59704614873092e+00 	 9.50955383579940e-01   3.09016794947367e-01 	-1.00039352525040e+01	 -2.21744560366611e-02	-5.57097985973271e-06		1.00538158050973e+01
2.64000000000000e+00    	-2.62689734312606e+00 	 9.50895676357650e-01   3.09016773501428e-01 	-1.00053208163276e+01	 -1.73209582101660e-02	-8.87071916930087e-06		1.00551849636549e+01
2.67000000000000e+00    	-2.65674859991440e+00 	 9.50854852488890e-01   3.09016742396775e-01 	-1.00060267029248e+01	 -9.64028860375467e-03	-1.17882212545237e-05		1.00558770534920e+01
2.70000000000000e+00    	-2.68659988913127e+00 	 9.50840050611092e-01   3.09016704936907e-01 	-1.00059028050769e+01	 -6.47052738834723e-05	-1.29534122438725e-05		1.00557491490689e+01
2.73000000000000e+00    	-2.71645116156290e+00 	 9.50855094732007e-01   3.09016667405212e-01 	-1.00049115523176e+01	 1.01356550655203e-02	-1.18519961162807e-05		1.00547679188206e+01
2.76000000000000e+00    	-2.74630236379633e+00 	 9.50899721409501e-01   3.09016635750473e-01 	-1.00031416721431e+01	 1.95170839479920e-02	-9.23972488521018e-06		1.00530206520039e+01
2.79000000000000e+00    	-2.77615345779677e+00 	 9.50969352133253e-01   3.09016612018653e-01 	-1.00008032462878e+01	 2.66627079696973e-02	-6.87462197660670e-06		1.00507102470922e+01
2.82000000000000e+00    	-2.80600443583395e+00 	 9.51055480419894e-01   3.09016592566365e-01 	-9.99820347561883e+00	 3.03919183501804e-02	-6.63187743433744e-06		1.00481339764466e+01
2.85000000000000e+00    	-2.83585532289806e+00 	 9.51146659197535e-01   3.09016569329943e-01 	-9.99570600723376e+00	 2.99485770568196e-02	-9.43418724585532e-06		1.00456475898971e+01
2.88000000000000e+00    	-2.86570616459791e+00 	 9.51229985125646e-01   3.09016533818156e-01 	-9.99367971425326e+00	 2.51387686370077e-02	-1.45954760519382e-05		1.00436181821582e+01
2.91000000000000e+00    	-2.89555700617892e+00 	 9.51292894786234e-01   3.09016481866639e-01 	-9.99244470248274e+00	 1.63943059020958e-02	-2.00139473836634e-05		1.00423712292387e+01
2.94000000000000e+00    	-2.92540787357660e+00 	 9.51325026481689e-01   3.09016416489170e-01 	-9.99222365691692e+00	 4.74767124507031e-03	-2.32116379164221e-05		1.00421390226769e+01
2.97000000000000e+00    	-2.95525876698509e+00 	 9.51319872992903e-01   3.09016346925103e-01 	-9.99310554119379e+00	 -8.28349905024298e-03	-2.27228375307670e-05		1.00430188177814e+01
3.00000000000000e+00    	-2.98510967084803e+00 	 9.51275963593721e-01   3.09016283959929e-01 	-9.99502663710427e+00	 -2.08906286848824e-02	-1.90671664841307e-05		1.00449486755859e+01
3.03000000000000e+00    	-3.01496057464998e+00 	 9.51197369722267e-01   3.09016233777849e-01 	-9.99777159117736e+00	 -3.12226295608230e-02	-1.46913887227645e-05		1.00477067852404e+01
3.06000000000000e+00    	-3.04481149174197e+00 	 9.51093421446662e-01   3.09016193730544e-01 	-1.00009949465238e+01	 -3.76544524385999e-02	-1.27910003796326e-05		1.00509361642757e+01
3.09000000000000e+00    	-3.07466246320752e+00 	 9.50977636921900e-01   3.09016152688442e-01 	-1.00042616292795e+01	 -3.90369309794157e-02	-1.55631028724543e-05		1.00541918933993e+01
3.12000000000000e+00    	-3.10451354136585e+00 	 9.50865985418232e-01   3.09016096292814e-01 	-1.00071028012201e+01	 -3.48901410149782e-02	-2.28339254203674e-05		1.00570037186356e+01
3.15000000000000e+00    	-3.13436475927506e+00 	 9.50774707052081e-01   3.09016014639673e-01 	-1.00090811892382e+01	 -2.55092449654210e-02	-3.18928059900325e-05		1.00589441282551e+01
