0.00000000000000e+00    	0.00000000000000e+00 	 1.00000000000000e+00  	-2.44929359830000e-16    -1.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.41421356237310e+00
3.63000000000000e+00    	-2.56660050353323e+00 	 9.97120267833846e-01   3.21750570385973e-05 	-1.01029925043608e+00	 -1.12817723922670e-02	1.30836675458470e-05		1.42155965544580e+00
3.66000000000000e+00    	-2.58792617069428e+00 	 9.97014528616819e-01   3.22669736430867e-05 	-1.01092435893047e+00	 1.42844556164495e-03	7.55255397859266e-07		1.42195995018716e+00
3.69000000000000e+00    	-2.60925197758019e+00 	 9.97183022711138e-01   3.24407288872318e-05 	-1.01035568274775e+00	 1.44880765260844e-02	2.12150825879692e-05		1.42162882303088e+00
3.72000000000000e+00    	-2.63056369198056e+00 	 9.97618987873524e-01   3.33640402555186e-05 	-1.00860522535473e+00	 2.65324412689274e-02	6.98678503368558e-05		1.42055921239984e+00
3.75000000000000e+00    	-2.65184849109472e+00 	 9.98287414671924e-01   3.54746209054219e-05 	-1.00582900407214e+00	 3.62393092117719e-02	1.29925894388688e-04		1.41880417600373e+00
3.78000000000000e+00    	-2.67309686222064e+00 	 9.99127207550140e-01   3.87771632010576e-05 	-1.00230770599564e+00	 4.24702311150244e-02	1.78329009284105e-04		1.41648314138589e+00
3.81000000000000e+00    	-2.69430383468326e+00 	 1.00005610234137e+00   4.28018390600691e-05 	-9.98408505268460e-01	 4.43994345949901e-02	1.94888956867903e-04		1.41378601321645e+00
3.84000000000000e+00    	-2.71546930399535e+00 	 1.00097805809568e+00   4.67590828777690e-05 	-9.94536596440587e-01	 4.16164961639683e-02	1.71164970528440e-04		1.41096952614507e+00
3.87000000000000e+00    	-2.73659748462060e+00 	 1.00179260061213e+00   4.98476451489191e-05 	-9.91086843936231e-01	 3.41909357031399e-02	1.15295196256928e-04		1.40834021656726e+00
3.90000000000000e+00    	-2.75769579360502e+00 	 1.00240534152972e+00   5.16025814479644e-05 	-9.88404444023466e-01	 2.26895848057363e-02	5.02705151996079e-05		1.40622123606178e+00
3.93000000000000e+00    	-2.77877361954310e+00 	 1.00273863310666e+00   5.21376908050782e-05 	-9.86759091766260e-01	 8.14119999075793e-03	5.63981278567239e-06		1.40490561403693e+00
3.96000000000000e+00    	-2.79984139425909e+00 	 1.00274109791118e+00   5.21638721874057e-05 	-9.86331514689359e-01	 -8.05215919434822e-03	5.49748849197265e-06		1.40460481779300e+00
3.99000000000000e+00    	-2.82091015483541e+00 	 1.00239470394899e+00   5.27495502141938e-05 	-9.87206842026669e-01	 -2.42508062462366e-02	5.75938758506046e-05		1.40540579686613e+00
4.02000000000000e+00    	-2.84199145480205e+00 	 1.00171825279575e+00   5.49014992001765e-05 	-9.89368358968491e-01	 -3.87466428881443e-02	1.48450564191087e-04		1.40724947116731e+00
