0.00000000000000e+00    	0.00000000000000e+00 	 3.00000000000000e+00  	-7.34788079490000e-16    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.79000000000000e+00    	6.90285241083516e-04 	 3.01490354140187e+00   -7.34839991471068e-16 	-2.90647445964448e-03	 -4.38825417158752e-02	-1.23310829044280e-19		1.00096659537730e+00
2.82000000000000e+00    	6.22110969649153e-04 	 3.01328750725781e+00   -7.34843731582801e-16 	-1.55951289055310e-03	 -6.38921469478756e-02	-1.26954620622168e-19		1.00204023797553e+00
2.85000000000000e+00    	6.01451332541968e-04 	 3.01108982440369e+00   -7.34847632752775e-16 	2.44365343156681e-04	 -8.27660806276292e-02	-1.34599040165209e-19		1.00341929611548e+00
2.88000000000000e+00    	6.39751990091893e-04 	 3.00835826717485e+00   -7.34851830164107e-16 	2.35643628845027e-03	 -9.97201089350126e-02	-1.47309892354211e-19		1.00496251319041e+00
2.91000000000000e+00    	7.43204887132165e-04 	 3.00516319618820e+00   -7.34856483158539e-16 	4.58148103891413e-03	 -1.14005700350101e-01	-1.65615745625669e-19		1.00648809713818e+00
2.94000000000000e+00    	9.11771647356323e-04 	 3.00159546137649e+00   -7.34861757237164e-16 	6.70150463359527e-03	 -1.24939643643134e-01	-1.89374073326842e-19		1.00779701563263e+00
2.97000000000000e+00    	1.13900874387341e-03 	 2.99776368493819e+00   -7.34867803690428e-16 	8.50440045008567e-03	 -1.31929809185558e-01	-2.17725971302788e-19		1.00870104559218e+00
3.00000000000000e+00    	1.41274684296963e-03 	 2.99379119295603e+00   -7.34874739568372e-16 	9.81380112538704e-03	 -1.34496905428404e-01	-2.49151125409788e-19		1.00905189572308e+00
3.03000000000000e+00    	1.71657098014330e-03 	 2.98981275977387e+00   -7.34882630650972e-16 	1.05162308888416e-02	 -1.32292958245485e-01	-2.81622201077657e-19		1.00876757378172e+00
3.06000000000000e+00    	2.03196163503601e-03 	 2.98597117856809e+00   -7.34891479805844e-16 	1.05819117806951e-02	 -1.25117650055621e-01	-3.12846921111518e-19		1.00785237173525e+00
3.09000000000000e+00    	2.34088546894276e-03 	 2.98241352146816e+00   -7.34901222752192e-16 	1.00759939448992e-02	 -1.12933460125921e-01	-3.40576571591241e-19		1.00640721980220e+00
3.12000000000000e+00    	2.62855686713539e-03 	 2.97928685166512e+00   -7.34911732797632e-16 	9.15753691343084e-03	 -9.58797487368440e-02	-3.62950225353980e-19		1.00462768561301e+00
3.15000000000000e+00    	2.88602038079171e-03 	 2.97673314334570e+00   -7.34922835451009e-16 	8.06442312422750e-03	 -7.42846675319865e-02	-3.78833620202732e-19		1.00278773763477e+00
3.18000000000000e+00    	3.11213957839645e-03 	 2.97488328753659e+00   -7.34934332731601e-16 	7.08383376013118e-03	 -4.86723590715625e-02	-3.88101333642078e-19		1.00120885894919e+00
3.21000000000000e+00    	3.31455322729561e-03 	 2.97385032119457e+00   -7.34946035351190e-16 	6.51020037784557e-03	 -1.97618138429286e-02	-3.91804622370603e-19		1.00021643257613e+00
3.24000000000000e+00    	3.50922538833331e-03 	 2.97372237100937e+00   -7.34957798867089e-16 	6.59555422738334e-03	 1.15464128843507e-02	-3.92171518754509e-19		1.00008840658517e+00
3.27000000000000e+00    	3.71841289461782e-03 	 2.97455614359058e+00   -7.34969557934487e-16 	7.50022548061311e-03	 4.41981570632564e-02	-3.92406541776669e-19		1.00100436086465e+00
3.30000000000000e+00    	3.96719490243468e-03 	 2.97637196336580e+00   -7.34981351806206e-16 	9.25365689961525e-03	 7.70280766978184e-02	-3.96295392911701e-19		1.00300496248313e+00
3.33000000000000e+00    	4.27907438716898e-03 	 2.97915122455809e+00   -7.34993335043645e-16 	1.17344543312100e-02	 1.08812878480312e-01	-4.07666741240066e-19		1.00597114269825e+00
3.36000000000000e+00    	4.67143640115595e-03 	 2.98283666651586e+00   -7.35005770165440e-16 	1.46753052827192e-02	 1.38328771703947e-01	-4.29802283813486e-19		1.00962875041585e+00
3.39000000000000e+00    	5.15171425367251e-03 	 2.98733524714559e+00   -7.35019002859837e-16 	1.76930268381072e-02	 1.64405609118712e-01	-4.64901547695915e-19		1.01357893008309e+00
3.42000000000000e+00    	5.71494586338846e-03 	 2.99252282516536e+00   -7.35033423983366e-16 	2.03387279856368e-02	 1.85971640124223e-01	-5.13693439935302e-19		1.01734906241003e+00
3.45000000000000e+00    	6.34308318172777e-03 	 2.99824958433899e+00   -7.35049424611933e-16 	2.21597470537137e-02	 2.02086093603055e-01	-5.75250556302648e-19		1.02045570389764e+00
3.48000000000000e+00    	7.00608897235125e-03 	 3.00434521555048e+00   -7.35067350528985e-16 	2.27643594672677e-02	 2.11960590620596e-01	-6.47021532190323e-19		1.02247029689776e+00
3.51000000000000e+00    	7.66463024302885e-03 	 3.01062323911371e+00   -7.35087461301491e-16 	2.18815973339004e-02	 2.14973375532523e-01	-7.25066328786162e-19		1.02307983876613e+00
3.54000000000000e+00    	8.27408838708948e-03 	 3.01688435166998e+00   -7.35109897534702e-16 	1.94104976567284e-02	 2.10681843173270e-01	-8.04465265843288e-19		1.02213678461455e+00
3.57000000000000e+00    	8.78960604645061e-03 	 3.02291918559204e+00   -7.35134658893889e-16 	1.54544284087385e-02	 1.98838715736862e-01	-8.79870889885130e-19		1.01969391203112e+00
3.60000000000000e+00    	9.17189018933676e-03 	 3.02851128865571e+00   -7.35161595409378e-16 	1.03362359633582e-02	 1.79415631556501e-01	-9.46172269731241e-19		1.01602008179992e+00
3.63000000000000e+00    	9.39339787212617e-03 	 3.03344140585050e+00   -7.35190415200668e-16 	4.58910070670998e-03	 1.52634950709371e-01	-9.99232530428891e-19		1.01159205612903e+00
