0.00000000000000e+00    	0.00000000000000e+00 	 -9.27050983120000e-01  	2.85316954890000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.54000000000000e+00    	-2.02701637455550e-04 	 -9.25623225391980e-01   2.85324270513003e+00 	8.13837168020636e-04	 1.72163665733993e-02	1.83116312675279e-04		1.00014853853841e+00
3.57000000000000e+00    	-1.73721756824721e-04 	 -9.25123296267303e-01   2.85324844986925e+00 	1.11447026770334e-03	 1.60070276243937e-02	1.99600719383463e-04		1.00012874512124e+00
3.60000000000000e+00    	-1.36125015889442e-04 	 -9.24669420729294e-01   2.85325465503974e+00 	1.38683495620781e-03	 1.41490485585906e-02	2.13634193382241e-04		1.00010107715464e+00
3.63000000000000e+00    	-9.08833019985365e-05 	 -9.24280565054996e-01   2.85326123360643e+00 	1.62290827134399e-03	 1.16793168860560e-02	2.24380233291648e-04		1.00006954289223e+00
3.66000000000000e+00    	-3.91841769661155e-05 	 -9.23974222262060e-01   2.85326808032540e+00 	1.81632729763399e-03	 8.65933646297120e-03	2.31486434299375e-04		1.00003916760235e+00
3.69000000000000e+00    	1.76160225865949e-05 	 -9.23765687358309e-01   2.85327508799176e+00 	1.96217927350688e-03	 5.17407445829703e-03	2.35188888998784e-04		1.00001533813628e+00
3.72000000000000e+00    	7.80305568997521e-05 	 -9.23667380013868e-01   2.85328216569704e+00 	2.05664984643219e-03	 1.32987062188270e-03	2.36338104700681e-04		1.00000302710550e+00
3.75000000000000e+00    	1.40469228566857e-04 	 -9.23688243045415e-01   2.85328925653877e+00 	2.09662075960213e-03	 -2.74855620854587e-03	2.36334837453395e-04		1.00000600309898e+00
3.78000000000000e+00    	2.03253946719372e-04 	 -9.23833243814145e-01   2.85329635205544e+00 	2.07932160346921e-03	 -6.92193255059763e-03	2.36976820001728e-04		1.00002614610148e+00
3.81000000000000e+00    	2.64626048556167e-04 	 -9.24103002944599e-01   2.85330350089152e+00 	2.00213676460368e-03	 -1.10409772524060e-02	2.40231014496034e-04		1.00006298273721e+00
3.84000000000000e+00    	3.22751241290264e-04 	 -9.24493570663536e-01   2.85331080983447e+00 	1.86264734735731e-03	 -1.49515286187933e-02	2.47958741050314e-04		1.00011353312847e+00
3.87000000000000e+00    	3.75729873544087e-04 	 -9.24996365717621e-01   2.85331843634773e+00 	1.65895047645212e-03	 -1.85000804895044e-02	2.61630757330073e-04		1.00017252189083e+00
