y	z	phi	r	period	thetamin	thetamax
1.40059244810000e+00	3.75287615400000e-01	2.61799387803463e-01	1.44999999998185e+00	6.08000000000000e+03	2.91703211099042e+00	2.08233829736234e-01
1.44888873940000e+00	3.88228567650000e-01	2.61799387802513e-01	1.49999999996656e+00	5.98000000000000e+03	2.91775459541020e+00	2.05984532966634e-01
1.49718503070000e+00	4.01169519910000e-01	2.61799387807855e-01	1.54999999995386e+00	5.90000000000000e+03	2.91996092265709e+00	2.06180230423494e-01
1.54548132210000e+00	4.14110472160000e-01	2.61799387790650e-01	1.60000000003517e+00	5.82000000000000e+03	2.92323228142423e+00	2.02849464458840e-01
1.59377761340000e+00	4.27051424420000e-01	2.61799387796028e-01	1.65000000002247e+00	5.72000000000000e+03	2.92607508509697e+00	2.00180736460939e-01
1.64207390470000e+00	4.39992376670000e-01	2.61799387795408e-01	1.70000000000718e+00	5.68000000000000e+03	2.92701708617608e+00	1.99885413814815e-01
1.69037019600000e+00	4.52933328930000e-01	2.61799387800342e-01	1.74999999999448e+00	5.64000000000000e+03	2.93023126180427e+00	1.94312602298827e-01
1.73866648730000e+00	4.65874281180000e-01	2.61799387799637e-01	1.79999999997920e+00	5.56000000000000e+03	2.93327315756941e+00	1.94274246555433e-01
1.78696277860000e+00	4.78815233440000e-01	2.61799387804190e-01	1.84999999996650e+00	5.56000000000000e+03	2.93700053494429e+00	1.89550425758945e-01
1.83525906990000e+00	4.91756185690000e-01	2.61799387803421e-01	1.89999999995121e+00	5.54000000000000e+03	2.93908104688468e+00	1.87956771489488e-01
1.88355536130000e+00	5.04697137950000e-01	2.61799387794371e-01	1.95000000003510e+00	5.52000000000000e+03	2.94317437166532e+00	1.83477911170082e-01
1.93185165260000e+00	5.17638090210000e-01	2.61799387798715e-01	2.00000000002240e+00	5.56000000000000e+03	2.94690905195796e+00	1.79971298264205e-01
1.98014794390000e+00	5.30579042460000e-01	2.61799387798135e-01	2.05000000000711e+00	5.54000000000000e+03	2.95070233393948e+00	1.75774391235240e-01
